url_host_tld,url_host_registry_suffix,category,iso3c
ae,gov.ae,government,ARE
af,gov.af,government,AFG
al,gov.al,government,ALB
ao,gv.ao,government,AGO
ar,gob.ar,government,ARG
ar,gov.ar,government,ARG
at,gv.at,government,AUT
au,gov.au,government,AUS
au,qld.gov.au,government,AUS
au,sa.gov.au,government,AUS
au,tas.gov.au,government,AUS
au,vic.gov.au,government,AUS
au,wa.gov.au,government,AUS
az,gov.az,government,AZE
ba,gov.ba,government,BIH
bb,gov.bb,government,BRB
bf,gov.bf,government,BFA
bh,gov.bh,government,BHR
bj,gouv.bj,government,BEN
bn,gov.bn,government,BRN
bo,gob.bo,government,BOL
br,gov.br,government,BRA
br,ac.gov.br,government,BRA
br,al.gov.br,government,BRA
br,am.gov.br,government,BRA
br,ap.gov.br,government,BRA
br,ba.gov.br,government,BRA
br,ce.gov.br,government,BRA
br,df.gov.br,government,BRA
br,es.gov.br,government,BRA
br,go.gov.br,government,BRA
br,ma.gov.br,government,BRA
br,mg.gov.br,government,BRA
br,ms.gov.br,government,BRA
br,mt.gov.br,government,BRA
br,pa.gov.br,government,BRA
br,pb.gov.br,government,BRA
br,pe.gov.br,government,BRA
br,pi.gov.br,government,BRA
br,pr.gov.br,government,BRA
br,rj.gov.br,government,BRA
br,rn.gov.br,government,BRA
br,ro.gov.br,government,BRA
br,rr.gov.br,government,BRA
br,rs.gov.br,government,BRA
br,sc.gov.br,government,BRA
br,se.gov.br,government,BRA
br,sp.gov.br,government,BRA
br,to.gov.br,government,BRA
bs,gov.bs,government,BHS
bt,gov.bt,government,BTN
by,gov.by,government,BLR
bz,gov.bz,government,BLZ
cd,gov.cd,government,COD
ci,gouv.ci,government,CIV
cl,gov.cl,government,CHL
cl,gob.cl,government,CHL
cm,gov.cm,government,CMR
cn,gov.cn,government,CHN
co,gov.co,government,COL
cu,gov.cu,government,CUB
cy,gov.cy,government,CYP
do,gob.do,government,DOM
do,gov.do,government,DOM
dz,gov.dz,government,DZA
ec,gov.ec,government,ECU
ec,gob.ec,government,ECU
ee,gov.ee,government,EST
eg,gov.eg,government,EGY
es,gob.es,government,ESP
et,gov.et,government,ETH
fr,gouv.fr,government,FRA
ge,gov.ge,government,GEO
gh,gov.gh,government,GHA
gn,gov.gn,government,GIN
gov,gov,government,USA
gr,gov.gr,government,GRC
gt,gob.gt,government,GTM
gy,gov.gy,government,GUY
hn,gob.hn,government,HND
ht,gouv.ht,government,HTI
ie,gov.ie,government,IRL
il,gov.il,government,ISR
in,gov.in,government,IND
iq,gov.iq,government,IRQ
ir,gov.ir,government,IRN
is,gov.is,government,ISL
it,gov.it,government,ITA
jo,gov.jo,government,JOR
kg,gov.kg,government,KGZ
km,gov.km,government,COM
km,gouv.km,government,COM
kp,gov.kp,government,PRK
kw,gov.kw,government,KWT
kz,gov.kz,government,KAZ
la,gov.la,government,LAO
lb,gov.lb,government,LBN
lk,gov.lk,government,LKA
lr,gov.lr,government,LBR
lt,gov.lt,government,LTU
lv,gov.lv,government,LVA
ly,gov.ly,government,LBY
ma,gov.ma,government,MAR
me,gov.me,government,MNE
mg,gov.mg,government,MDG
mk,gov.mk,government,MKD
ml,gouv.ml,government,MLI
ml,gov.ml,government,MLI
mn,gov.mn,government,MNG
mr,gov.mr,government,MRT
mu,gov.mu,government,MUS
mv,gov.mv,government,MDV
mw,gov.mw,government,MWI
mx,gob.mx,government,MEX
my,gov.my,government,MYS
mz,gov.mz,government,MOZ
ng,gov.ng,government,NGA
ni,gob.ni,government,NIC
om,gov.om,government,OMN
pa,gob.pa,government,PAN
pe,gob.pe,government,PER
ph,gov.ph,government,PHL
pk,gov.pk,government,PAK
pk,gob.pk,government,PAK
pl,gov.pl,government,POL
pl,ap.gov.pl,government,POL
pl,ic.gov.pl,government,POL
pl,is.gov.pl,government,POL
pl,us.gov.pl,government,POL
pl,kmpsp.gov.pl,government,POL
pl,kppsp.gov.pl,government,POL
pl,kwpsp.gov.pl,government,POL
pl,psp.gov.pl,government,POL
pl,wskr.gov.pl,government,POL
pl,kwp.gov.pl,government,POL
pl,mw.gov.pl,government,POL
pl,ug.gov.pl,government,POL
pl,um.gov.pl,government,POL
pl,umig.gov.pl,government,POL
pl,ugim.gov.pl,government,POL
pl,upow.gov.pl,government,POL
pl,uw.gov.pl,government,POL
pl,starostwo.gov.pl,government,POL
pl,pa.gov.pl,government,POL
pl,po.gov.pl,government,POL
pl,psse.gov.pl,government,POL
pl,pup.gov.pl,government,POL
pl,rzgw.gov.pl,government,POL
pl,sa.gov.pl,government,POL
pl,so.gov.pl,government,POL
pl,sr.gov.pl,government,POL
pl,wsa.gov.pl,government,POL
pl,sko.gov.pl,government,POL
pl,uzs.gov.pl,government,POL
pl,wiih.gov.pl,government,POL
pl,winb.gov.pl,government,POL
pl,pinb.gov.pl,government,POL
pl,wios.gov.pl,government,POL
pl,witd.gov.pl,government,POL
pl,wzmiuw.gov.pl,government,POL
pl,piw.gov.pl,government,POL
pl,wiw.gov.pl,government,POL
pl,griw.gov.pl,government,POL
pl,wif.gov.pl,government,POL
pl,oum.gov.pl,government,POL
pl,sdn.gov.pl,government,POL
pl,zp.gov.pl,government,POL
pl,uppo.gov.pl,government,POL
pl,mup.gov.pl,government,POL
pl,wuoz.gov.pl,government,POL
pl,konsulat.gov.pl,government,POL
pl,oirm.gov.pl,government,POL
pt,gov.pt,government,PRT
py,gov.py,government,PRY
qa,gov.qa,government,QAT
rs,gov.rs,government,SRB
ru,gov.ru,government,RUS
rw,gov.rw,government,RWA
rw,gouv.rw,government,RWA
sa,gov.sa,government,SAU
sb,gov.sb,government,SLB
sd,gov.sd,government,SDN
sg,gov.sg,government,SGP
sl,gov.sl,government,SLE
sn,gouv.sn,government,SEN
sv,gob.sv,government,SLV
sy,gov.sy,government,SYR
tj,gov.tj,government,TJK
tl,gov.tl,government,TLS
tm,gov.tm,government,TKM
tn,gov.tn,government,TUN
tr,gov.tr,government,TUR
tr,gov.nc.tr,government,TUR
tt,gov.tt,government,TTO
tw,gov.tw,government,TWN
ua,gov.ua,government,UKR
ua,chernigov.ua,government,UKR
uk,gov.uk,government,GBR
ve,gob.ve,government,VEN
ve,gov.ve,government,VEN
vn,gov.vn,government,VNM
za,gov.za,government,ZAF
zm,gov.zm,government,ZMB
zw,gov.zw,government,ZWE
