tld,suffix,country,category,reference
aaa,aaa,,,"2015-02-26 American Automobile Association, Inc."
aarp,aarp,,,2015-05-21 AARP
abarth,abarth,,,2015-07-30 Fiat Chrysler Automobiles N.V.
abb,abb,,,2014-10-24 ABB Ltd
abbott,abbott,,,"2014-07-24 Abbott Laboratories, Inc."
abbvie,abbvie,,,2015-07-30 AbbVie Inc.
abc,abc,,,"2015-07-30 Disney Enterprises, Inc."
able,able,,,2015-06-25 Able Inc.
abogado,abogado,,,"2014-04-24 Registry Services, LLC"
abudhabi,abudhabi,,,2015-07-30 Abu Dhabi Systems and Information Centre
ac,ac,SH,,http://nic.ac/rules.htm
ac,com.ac,SH,,http://nic.ac/rules.htm
ac,drr.ac,SH,,https://carrd.co
ac,edu.ac,SH,education,http://nic.ac/rules.htm
ac,gov.ac,SH,government,http://nic.ac/rules.htm
ac,mil.ac,SH,military,http://nic.ac/rules.htm
ac,net.ac,SH,,http://nic.ac/rules.htm
ac,org.ac,SH,,http://nic.ac/rules.htm
academy,academy,,,"2013-11-07 Binky Moon, LLC"
academy,official.academy,,,https://yescourse.com
accenture,accenture,,,2014-08-15 Accenture plc
accountant,accountant,,,2014-11-20 dot Accountant Limited
accountants,accountants,,,"2014-03-20 Binky Moon, LLC"
aco,aco,,,2015-01-08 ACO Severin Ahlmann GmbH & Co. KG
actor,actor,,,"2013-12-12 Dog Beach, LLC"
ad,ad,AD,,https://en.wikipedia.org/wiki/.ad
ad,nom.ad,AD,,https://en.wikipedia.org/wiki/.ad
adac,adac,,,2015-07-16 Allgemeiner Deutscher Automobil-Club e.V. (ADAC)
ads,ads,,,2014-12-04 Charleston Road Registry Inc.
adult,adult,,,2014-10-16 ICM Registry AD LLC
ae,ac.ae,AE,education,https://tdra.gov.ae/en/aeda/ae-policies
ae,ae,AE,,https://tdra.gov.ae/en/aeda/ae-policies
ae,blogspot.ae,AE,,http://www.goip.de
ae,co.ae,AE,,https://tdra.gov.ae/en/aeda/ae-policies
ae,gov.ae,AE,government,https://tdra.gov.ae/en/aeda/ae-policies
ae,mil.ae,AE,military,https://tdra.gov.ae/en/aeda/ae-policies
ae,net.ae,AE,,https://tdra.gov.ae/en/aeda/ae-policies
ae,org.ae,AE,,https://tdra.gov.ae/en/aeda/ae-policies
ae,sch.ae,AE,,https://tdra.gov.ae/en/aeda/ae-policies
aeg,aeg,,,2015-03-19 Aktiebolaget Electrolux
aero,accident-investigation.aero,,,see https://www.information.aero/index.php?id=66
aero,accident-prevention.aero,,,see https://www.information.aero/index.php?id=66
aero,aero,,,see https://www.information.aero/index.php?id=66
aero,aerobatic.aero,,,see https://www.information.aero/index.php?id=66
aero,aeroclub.aero,,,see https://www.information.aero/index.php?id=66
aero,aerodrome.aero,,,see https://www.information.aero/index.php?id=66
aero,agents.aero,,,see https://www.information.aero/index.php?id=66
aero,air-surveillance.aero,,,see https://www.information.aero/index.php?id=66
aero,air-traffic-control.aero,,,see https://www.information.aero/index.php?id=66
aero,aircraft.aero,,,see https://www.information.aero/index.php?id=66
aero,airline.aero,,,see https://www.information.aero/index.php?id=66
aero,airport.aero,,,see https://www.information.aero/index.php?id=66
aero,airtraffic.aero,,,see https://www.information.aero/index.php?id=66
aero,ambulance.aero,,,see https://www.information.aero/index.php?id=66
aero,amusement.aero,,,see https://www.information.aero/index.php?id=66
aero,association.aero,,,see https://www.information.aero/index.php?id=66
aero,author.aero,,,see https://www.information.aero/index.php?id=66
aero,ballooning.aero,,,see https://www.information.aero/index.php?id=66
aero,broker.aero,,,see https://www.information.aero/index.php?id=66
aero,caa.aero,,,see https://www.information.aero/index.php?id=66
aero,cargo.aero,,,see https://www.information.aero/index.php?id=66
aero,catering.aero,,,see https://www.information.aero/index.php?id=66
aero,certification.aero,,,see https://www.information.aero/index.php?id=66
aero,championship.aero,,,see https://www.information.aero/index.php?id=66
aero,charter.aero,,,see https://www.information.aero/index.php?id=66
aero,civilaviation.aero,,,see https://www.information.aero/index.php?id=66
aero,club.aero,,,see https://www.information.aero/index.php?id=66
aero,conference.aero,,,see https://www.information.aero/index.php?id=66
aero,consultant.aero,,,see https://www.information.aero/index.php?id=66
aero,consulting.aero,,,see https://www.information.aero/index.php?id=66
aero,control.aero,,,see https://www.information.aero/index.php?id=66
aero,council.aero,,,see https://www.information.aero/index.php?id=66
aero,crew.aero,,,see https://www.information.aero/index.php?id=66
aero,design.aero,,,see https://www.information.aero/index.php?id=66
aero,dgca.aero,,,see https://www.information.aero/index.php?id=66
aero,educator.aero,,,see https://www.information.aero/index.php?id=66
aero,emergency.aero,,,see https://www.information.aero/index.php?id=66
aero,engine.aero,,,see https://www.information.aero/index.php?id=66
